,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
501,Parc de Verdelles,https://montreal.ca/lieux/parc-de-verdelles,"Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.Du nouveau au parc de Verdelles cet automne!Prêt de matériel pour s’amuser en famille ou entre amisEnvie de faire une activité libre à l’extérieur ? Profitez du prêt de matériel dès maintenant jusqu’à la fin octobre :Jeux de pochesJeux de lancer -rondelles [washers], fléchettes de sol, balles sur cible, balles avec gants en velcroFrisbeesCordes à sauterRaquettes de tennis de tableJeux géants de mikadoBâtons du diableBallons, ballons sauteurs et missilesHoraire Les équipements sont disponibles selon l’horaire suivant :Lundi au vendredi:   16  h à 19 h    Samedi et dimanche:    10 h à 18 hFonctionnementGratuit et accessible à tousPrêt durant un maximum de deux heuresUtilisation dans le parc uniquementRemise du matériel au gardien du parc avant la fermeture de la station de prêt.Premier arrivé, premier servi Heure du conte les samedis après-midiLe talent de raconteuse de Michèle Tremblay est également offert au grand air au public de 2 à 12 ans. L’activité a lieu tous les samedis après-midi entre 13 h 30 et 15 h 30 à partir du 16 septembre. L’entrée est libre, et les histoires sélectionnées seront adaptées à l’auditoire sur place.  Il est à noter que ces activités peuvent être annulées en cas de pluie ou de circonstances en dehors de notre contrôle.",2019-10-18,2023-09-12,Anjou,Parc et jardins,Parc,"Ping-pong,Raquette,Baignade","Douches,Fontaine d'eau potable,Table à langer,Toilettes,Vestiaire",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,numéro: 5144938232,,Parc de Verdelles,"8441, place de Verdelles",,,Montréal,-73.549548196899,45.608591086423,300935.2,5052077.7
502,Parc de Peterborough,https://montreal.ca/lieux/parc-de-peterborough,"Plusieurs travaux de revitalisation on été finalisés à l’été 2023. Le parc dispose maintenant de quatre terrains de pickleball modernes et clôturés ainsi que de deux nouvelles aires de jeux pour les tout-petits et les enfants. Le parc à chien a également été bonifié. Enfin, les sentiers, l’éclairage et la végétation ont été remplacés.",2019-10-18,2023-09-27,Anjou,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable,Table à langer,Terrain de pickleball,Toilettes","Adapté aux poussettes,Entrée de plain-pied,Sentier d'accès,Toilettes accessibles",Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Parc de Peterborough,"8400, boulevard de Châteauneuf",,H1K5G3,Montréal,-73.555955886841,45.610930381548,300435.6,5052338.0
503,Parc André-Laurendeau,https://montreal.ca/lieux/parc-andre-laurendeau,Le parc a connu d’importantes rénovations en 2022. L’aire de jeu pour enfants a été remplacé et le terrain de baseball a été agrandi et resurfacé. L’ensemble du parc est maintenant éclairé au DEL.Des sentiers ainsi que des aires de repos et de repas ont été aménagés de part et d’autre du site. Les nombreux arbres plantés contribueront au verdissement du secteur au fil des ans.,2019-10-18,2022-11-25,Anjou,Parc et jardins,Parc,"Photographie,Vélo,Soccer,Randonnée,Baseball,Baignade","Aire de pique-nique,Borne de recharge voiture,Douches,Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Stationnement gratuit,Support à vélo,Table à langer,Toilettes,Vestiaire","Adapté aux poussettes,Places de stationnement réservées (vignette),Toilettes accessibles",Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Parc André-Laurendeau,"8361, avenue André-Laurendeau",,H1J2H5,Montréal,-73.570697307587,45.604685781775,299285.2,5051645.0
504,Boisé Saint-Conrad,https://montreal.ca/lieux/boise-saint-conrad,"Petit oasis de paix, le parc comprend des installations qui sauront plaire à toute la famille. Les tout-petits peuvent profiter de modules de jeux modernes, alors que les plus grands disposent maintenant d’une table de ping pong qui promet de beaux échanges amicaux!Tous sauront apprécier son nouveau mobilier, composé notamment de bancs et d’une balancelle, de même que son aménagement paysager propice à la détente.Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-10-18,2021-07-16,Anjou,Parc et jardins,Parc,,"Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Table de ping pong","Adapté aux poussettes,Entrée de plain-pied",Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:23:00,Mardi, ouverture:07:00, fermeture:23:00,Mercredi, ouverture:07:00, fermeture:23:00,Jeudi, ouverture:07:00, fermeture:23:00,Vendredi, ouverture:07:00, fermeture:23:00,Samedi, ouverture:07:00, fermeture:23:00,Dimanche, ouverture:07:00, fermeture:23:00]",,,,,,Boisé Saint-Conrad,Avenue Guy et avenue Chaumont,,,Montréal,-73.5456933831,45.611755948322,301236.1,5052429.3
505,Parc Zotique-Racicot,https://montreal.ca/lieux/parc-zotique-racicot,"Le parc Zotique-Racicot est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-10-18,2022-11-22,Ahuntsic-Cartierville,Parc et jardins,Parc,,,,Culture et sports,Fermeture temporaire," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",Le parc Zotique-Racicot est fermé pour cause de travaux de réaménagement.,,,,,Parc Zotique-Racicot,"11906, rue Zotique-Racicot",,,Montréal,-73.68901221083,45.542617877479,290039.8,5044762.2
506,Parc Victor-Barbeau,https://montreal.ca/lieux/parc-victor-barbeau,"Le parc Victor-Barbeau est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-10-18,2023-06-19,Ahuntsic-Cartierville,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:21:00,Mardi, ouverture:06:00, fermeture:21:00,Mercredi, ouverture:06:00, fermeture:21:00,Jeudi, ouverture:06:00, fermeture:21:00,Vendredi, ouverture:06:00, fermeture:21:00,Samedi, ouverture:06:00, fermeture:21:00,Dimanche, ouverture:06:00, fermeture:21:00]",,,,,,Parc Victor-Barbeau,Rue Lucien-Plante,,,Montréal,-73.631071804224,45.55698638427,294567.0,5046350.0
507,Parc Sainte-Odile,https://montreal.ca/lieux/parc-sainte-odile,"On y trouve un terrain de soccer, un terrain de jeu pour enfants, et bien plus encore.",2019-10-18,2021-05-28,Ahuntsic-Cartierville,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Sainte-Odile,"4248, rue Forbes",,,Montréal,-73.709448323398,45.535565703248,288441.9,5043982.4
508,Parc Saint-Paul-de-la-Croix,https://montreal.ca/lieux/parc-saint-paul-de-la-croix,"Le parc offre des jeux d’eau et une pataugeoire.Vérifiez s’ils sont ouverts avant de vous y rendre.La pataugeoire de ce parc est accessible aux personnes handicapées.Règles régissant les pataugeoiresLes pataugeoires sont réservées aux enfants de 8 ans et moins.Les adultes sont responsables des enfants qu’ils accompagnent.Le maillot de bain est le seul vêtement accepté pour la baignade.Les petits objets flottants, sécuritaires et adaptés aux enfants sont acceptés. Caractéristiques des pataugeoiresElles contiennent moins de 45 cm d’eau.L’eau est chlorée.Des tests sont effectués à toutes les heures pour vérifier la salubrité de l’eau.En cas d’orage, la pataugeoire est évacuée.Leur surveillance est assurée par des employés spécialement formés.",2019-10-18,2023-12-19,Ahuntsic-Cartierville,Parc et jardins,Parc,"Ping-pong,Pétanque ou bocce,Patinage,Hockey,Baseball,Baignade","Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé,Table de ping pong,Terrain de jeu de boules,Vestiaire universel","Accessible en fauteuil roulant,Accessible en fauteuil roulant avec assistance,Adapté aux poussettes,Entrée de plain-pied,Sentier d'accès,Zone de débarcadère",Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Saint-Paul-de-la-Croix,"9900, avenue Hamel",,,Montréal,-73.652772765942,45.560278757575,292873.5,5046718.9
509,Parc Saint-André-Apôtre,https://montreal.ca/lieux/parc-saint-andre-apotre,Les jeux d’eau du parc sont accessibles aux personnes handicapées.Vérifiez s’ils sont ouverts avant de vous y rendre.,2019-10-18,2023-12-19,Ahuntsic-Cartierville,Parc et jardins,Parc,"Soccer,Hockey,Baignade","Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé","Accessible en fauteuil roulant,Accessible en fauteuil roulant avec assistance,Adapté aux poussettes",Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Saint-André-Apôtre,"10550, avenue de l'Esplanade",,,Montréal,-73.672299176892,45.54684635411,291345.9,5045229.2
510,Parc Maurice-Richard,https://montreal.ca/lieux/parc-maurice-richard,"Le parc Maurice-Richard est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-10-18,2023-12-19,Ahuntsic-Cartierville,Parc et jardins,Parc,"Vélo,Randonnée","Borne de réparation de vélo,Fontaine d'eau potable,Rampe de mise à l'eau,Support à vélo",,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Maurice-Richard,"670, avenue Park Stanley",,,Montréal,-73.672443446459,45.559136429108,291337.6,5046595.0
511,Parc des Hirondelles,https://montreal.ca/lieux/parc-des-hirondelles,"Le parc est doté de terrains de soccer, d’une aire de jeux pour les enfants, d’un module de jeu de 2-5 ans accessible universellement, d’une aire d’exercices pour adultes, d’une scène extérieure, d’un jeu d’eau et d’une pente pour la glissade en luge, l’hiver.L’hiver, on y trouve aussi une patinoire extérieure à bandes.Ce parc est aussi doté d’un terrain de football recouvert d’une surface synthétique.",2019-10-18,2023-12-05,Ahuntsic-Cartierville,Parc et jardins,Parc,"Ping-pong,Pickleball,Soccer,Randonnée,Pétanque ou bocce,Patinage,Hockey,Glissade,Basketball,Volleyball","Appareils d'exercices,Aire de pique-nique,Barbecue,Circuit d'entraînement,Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Roulotte ou chalet chauffé,Support à vélo,Table de ping pong,Terrain de basketball,Terrain de jeu de boules,Terrain de pickleball,Terrain de volleyball,Toilettes","Accessible en fauteuil roulant,Accessible en fauteuil roulant avec assistance,Adapté aux poussettes,Entrée de plain-pied,Rampe d'accès,Sentier d'accès,Toilettes accessibles,Zone de débarcadère,Zone de débarcadère pour transport adapté",Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc des Hirondelles,"2601, rue Sauvé Est",,H2B1L5,Montréal,-73.642548322678,45.575502581512,293674.7,5048409.2
512,Parc De Salaberry,https://montreal.ca/lieux/parc-de-salaberry,"Le parc De Salaberry est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.Dans ce parc, vous trouverez un jardin nourricier aménagé en 2023, qui est géré et entretenu par un groupe de citoyen(ne)s et des organismes partenaires, comme le CLIC de Bordeaux-Cartierville et Ville en vert.L’aménagement de jardins nourriciers (3 dans l’arrondissement) est un projet qui a été voté par les citoyen(ne)s lors des budgets participatifs.Ce type d’aménagement vise à implanter une variété de plantes permettant à la fois d’augmenter la biodiversité en ville, d’offrir une récolte en libre-service, de créer des espaces éducatifs et des lieux de rencontres et de discussions sur l’agriculture urbaine. Consultez cette page pour en savoir plus sur les jardins nourriciers et sur l’agriculture urbaine dans Ahuntsic-Cartierville.",2019-10-18,2023-11-03,Ahuntsic-Cartierville,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc De Salaberry,rue Frigon,,H3M2S1,Montréal,-73.69481921196,45.53924834987,289585.4,5044388.8
513,Parc Alice-Nolin / Claude-Gauvreau,https://montreal.ca/lieux/parc-alice-nolin-claude-gauvreau,"Le parc Alice-Nolin / Claude-Gauvreau est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2019-10-18,2023-12-05,Ahuntsic-Cartierville,Parc et jardins,Parc,,"Module de jeu pour enfants,Module de jeu pour tout-petits",Sentier d'accès,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Alice-Nolin / Claude-Gauvreau,"2634, rue Alice-Nolin",,,Montréal,-73.670293561141,45.533690772875,291499.5,5043766.8
514,Parc de Dieppe,https://montreal.ca/lieux/parc-de-dieppe,"Pendant la période estivale, des tables à pique-nique sont à votre disposition pour un moment convivial en famille ou entre amis. En vous y rendant en vélo, jetez un oeil à Habitat 67, ces constructions résidentielles originales qui font la renommée de Montréal encore aujourd’hui et qui ont été bâties pour l’Expo 67. Si vous avez le temps, non loin de là, faites une halte à la vague à Guy, une vague naturelle qui attire les surfeurs.",2019-10-18,2021-05-31,Ville-Marie,Parc et jardins,Parc,"Photographie,Vélo,Randonnée,Pêche","Aire de pique-nique,Barbecue,Fontaine d'eau potable,Stationnement gratuit,Toilettes","Accessible en fauteuil roulant avec assistance,Toilettes accessibles",Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc de Dieppe,"3400, avenue Pierre-Dupuy",,,Montréal,-73.543217819176,45.505956850642,301422.9,5040671.6
515,Parc Marguerite-Bourgeoys (RDP-PAT),https://montreal.ca/lieux/parc-marguerite-bourgeoys-rdp-pat,Profitez des attraits de la nature ou pratiquez des loisirs en plein air.,2019-10-23,2021-06-10,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,,Module de jeu pour enfants,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,,,,,Parc Marguerite-Bourgeoys (RDP-PAT),"11591, rue René-Lévesque",,,Montréal,-73.502924591294,45.635446098047,304572.0,5055061.0
516,Parc Gérard-Lalonde,https://montreal.ca/lieux/parc-gerard-lalonde,Le parc Gérard-Lalonde est un lieu privilégié pour se détendre.,2022-01-20,2024-02-01,Villeray–Saint-Michel–Parc-Extension,,Parc,,,,Culture et sports,Ouvert," Heures d'ouverture [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Gérard-Lalonde,Le parc se trouve au croisement de la rue Jarry Est et de la rue Drolet.,,H2P1V1,Montréal,,,,
517,Parc Jean-Valets,https://montreal.ca/lieux/parc-jean-valets,"Horaire du Roulivre : le Roulivre est en service tous les mardis, de 15 h à 18 h (mai et juin)",2022-01-20,2023-05-23,Villeray–Saint-Michel–Parc-Extension,,Parc,,Aire de pique-nique,,Culture et sports,Ouvert," Heures d'ouverture [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Jean-Valets,8400 Avenue de l'Épée,,H3N2G4,Montréal,-73.640647,45.53265,293814.8,5043646.7
518,Parc Michel-Ange,https://montreal.ca/lieux/parc-michel-ange,"Le parc Michel-Ange est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air.",2022-01-20,2024-02-01,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,,"Aire de pique-nique,Module de jeu pour enfants",,Culture et sports,Ouvert," Heures d'ouverture [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Michel-Ange,3615 rue Michel-Ange,,H2A 1J3,Montréal,,,,
519,Parc Ogilvy-Outremont,https://montreal.ca/lieux/parc-ogilvy-outremont,Le parc Ogilvy-Outremont est un lieu privilégié pour se détendre.,2022-01-20,2024-02-01,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,,"Aire de pique-nique,Fontaine d'eau potable",,Culture et sports,Ouvert," Heures d'ouverture [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Ogilvy-Outremont,"810, avenue ogilvy",,H3N1N9,Montréal,-73.62695864169163,45.52675846391358,294882.9,5042990.2
